G1,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,shoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences
11,0,1,15,0,0,0,4,2,1,1,0,1,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0
13,0,0,15,1,0,0,1,1,1,1,2,1,1,2,0,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2
13,0,1,16,0,0,0,3,1,1,1,2,1,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0
11,0,0,16,0,0,0,3,3,1,0,1,1,1,2,0,1,1,0,1,1,1,1,0,4,3,3,2,4,5,4
11,0,1,15,0,0,0,4,3,4,1,1,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,3,5,0
12,0,1,15,0,0,0,4,0,4,1,0,1,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,0
13,0,0,16,0,0,0,2,2,1,1,2,1,1,4,0,0,0,0,0,1,1,1,1,5,2,3,1,3,3,1
9,0,1,17,0,0,0,2,1,1,1,1,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,0
12,0,0,16,0,0,0,3,4,2,1,0,1,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,14
11,0,1,15,0,0,0,2,3,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,3,2,2,1,3,3,0
10,0,1,15,0,0,0,2,3,1,1,1,1,1,3,0,1,0,0,0,0,1,1,0,5,3,2,1,2,5,2
12,0,0,15,0,1,0,3,2,0,1,2,1,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,1,5,4
13,0,1,15,0,1,0,2,2,0,0,1,1,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,2
13,0,0,15,0,0,0,1,1,1,1,1,0,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2
12,0,0,15,0,0,0,4,4,0,0,2,0,2,2,0,0,0,0,0,1,1,1,1,4,4,4,2,3,5,4
13,0,0,16,0,1,0,2,2,2,1,0,1,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,6
15,0,0,15,0,0,0,4,2,1,1,2,1,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4
12,0,1,16,0,0,0,2,2,0,1,2,0,2,2,0,0,0,0,1,0,1,1,0,4,4,2,1,1,3,6
9,0,1,16,0,1,1,4,4,4,3,2,1,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,6
9,0,0,16,0,0,0,3,3,1,1,1,1,1,3,0,0,1,0,0,1,1,1,1,4,3,3,1,3,4,2
14,0,0,15,0,0,0,4,3,0,1,2,1,1,1,0,0,0,0,1,1,1,1,0,4,5,5,1,3,1,6
12,0,0,16,0,1,0,3,1,1,1,1,0,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,0
13,0,0,16,0,0,0,4,2,4,0,1,1,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,1,2
11,0,1,15,0,1,0,2,2,0,3,2,1,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,2
13,0,0,15,1,0,0,1,1,2,1,1,1,2,4,0,1,1,1,1,1,1,1,0,3,1,2,1,1,1,4
9,0,1,16,1,0,0,4,3,0,1,2,1,2,1,0,1,1,1,1,0,1,1,0,3,3,3,1,1,4,6
13,0,0,16,0,0,0,2,1,1,1,0,1,1,2,0,0,1,0,0,1,1,0,1,4,3,5,1,1,5,0
12,0,0,16,0,0,0,4,4,1,1,2,1,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,4
12,0,0,16,0,0,0,4,3,1,2,0,1,1,3,0,1,1,0,0,1,1,1,0,5,3,5,1,1,3,2
9,0,1,16,0,0,0,4,4,0,0,3,1,1,1,0,1,1,0,1,1,1,1,0,4,5,5,5,5,4,12
16,0,1,16,0,0,0,4,4,0,4,3,0,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0
12,0,1,15,0,0,0,4,4,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,5,3,3,1,1,5,2
11,0,0,15,0,0,0,3,2,0,1,1,1,2,2,0,1,1,0,0,1,1,1,0,4,3,5,1,1,2,16
16,0,1,15,0,0,1,3,4,0,1,0,1,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,1,1,0
10,0,0,15,0,0,1,3,3,1,3,2,0,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10
10,0,0,15,0,0,0,2,2,1,1,0,1,1,4,0,1,1,0,0,1,1,1,0,5,1,2,1,1,3,4
13,0,1,16,0,0,0,3,3,0,1,1,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,4
12,0,1,15,1,0,0,4,4,1,1,1,0,4,4,0,0,1,0,1,1,1,1,1,1,3,5,3,5,1,8
15,0,0,16,0,1,0,4,4,3,3,3,1,1,3,0,0,1,0,1,1,1,1,1,5,4,5,1,1,4,2
13,0,1,15,0,1,1,4,4,4,4,0,1,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,4
11,0,0,16,1,0,0,3,3,0,1,2,0,1,3,0,1,1,0,1,1,1,1,0,4,1,2,1,1,2,4
8,0,0,16,0,0,0,2,2,2,1,1,1,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,12
18,0,1,15,0,1,0,4,2,4,1,0,1,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10
10,0,1,15,1,0,0,2,1,3,0,2,1,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,4
16,0,1,16,0,0,0,4,4,4,4,0,0,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,6
16,0,1,15,0,0,0,4,4,1,4,2,0,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,4
14,0,1,16,0,0,0,3,3,1,0,1,0,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,6
12,0,1,17,1,0,0,1,3,1,1,0,0,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,14
14,0,1,15,0,0,0,3,4,1,1,2,0,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2
14,0,0,15,0,0,0,1,2,2,0,0,1,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,0
14,0,1,15,0,0,0,2,2,0,0,1,0,1,4,0,0,1,0,1,1,1,1,0,5,5,4,1,2,5,6
14,0,0,16,0,1,0,2,4,1,3,0,0,2,2,0,0,1,0,1,1,1,1,1,4,2,2,1,2,5,2
12,0,1,16,0,0,0,4,4,3,1,0,1,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,4
12,0,0,16,0,0,0,2,2,1,1,1,1,1,2,0,0,0,0,0,1,1,1,1,5,4,4,1,1,5,0
9,0,1,15,0,0,0,3,4,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,2
10,0,0,15,0,1,1,3,4,1,1,1,1,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0
9,0,0,19,0,0,0,0,1,2,1,0,2,1,2,2,0,1,0,0,0,0,0,0,3,4,2,1,1,5,0
14,0,1,16,1,0,0,4,4,4,4,0,1,1,1,0,0,0,0,1,1,1,1,0,3,5,5,2,5,4,8
13,0,1,16,0,0,0,2,3,1,1,0,1,2,3,0,0,1,0,0,0,1,1,1,3,2,3,2,2,1,4
10,0,0,15,1,0,0,3,4,0,4,0,0,2,3,0,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0
10,0,0,18,0,0,0,2,1,0,1,2,1,1,2,3,0,1,0,1,1,0,1,1,5,4,5,1,3,5,10
11,0,0,17,0,1,1,2,1,1,1,0,1,3,1,0,0,1,0,0,1,1,1,0,3,2,2,1,2,5,8
11,0,0,15,0,0,0,1,1,2,1,0,1,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,6
13,0,0,17,0,1,0,2,2,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,2
15,0,0,16,0,0,1,3,4,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,12
9,0,1,16,0,0,0,2,1,2,1,0,1,4,1,0,0,0,0,0,1,1,0,0,3,2,1,1,1,2,4
13,0,0,16,0,0,1,2,2,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,5,3,4,1,1,5,12
12,0,1,15,1,0,0,3,4,2,4,0,1,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,2
13,0,0,15,0,0,0,4,4,0,2,0,1,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,4
10,0,1,17,1,0,0,3,4,2,1,0,1,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2
14,0,0,16,1,0,0,1,1,2,1,0,1,4,2,0,0,1,0,0,1,1,0,0,5,1,3,1,1,3,0
11,0,1,18,0,1,0,3,1,0,0,0,1,2,1,0,0,0,0,1,1,1,1,1,3,3,4,4,5,4,2
12,0,0,18,0,0,1,3,2,1,0,0,2,1,3,0,0,1,0,1,0,1,1,1,4,3,3,5,1,5,10
12,0,0,16,1,0,0,1,1,1,0,2,1,2,1,0,0,1,0,1,1,1,0,1,3,3,3,1,2,1,8
9,0,0,16,0,0,1,3,3,1,1,0,2,2,1,0,0,1,0,1,0,1,1,1,4,3,2,1,1,5,4
10,0,1,16,0,1,0,1,1,0,1,0,1,1,2,2,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0
13,0,0,15,0,0,0,4,4,4,4,0,1,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,6
8,0,0,15,1,0,0,1,1,1,1,0,1,3,1,1,0,0,0,1,1,1,1,1,5,5,5,1,1,1,2
9,0,1,15,0,0,0,4,3,4,0,0,0,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,6
9,0,0,15,0,0,1,3,3,0,0,1,1,1,2,0,0,0,0,0,0,1,0,1,1,3,2,2,3,1,24
15,0,1,16,0,0,0,4,4,0,0,0,1,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,5,0
12,0,1,16,0,1,0,2,2,0,0,2,0,2,1,0,0,1,0,1,1,1,1,0,2,3,3,2,2,2,4
13,0,0,15,0,0,0,4,4,4,0,0,1,1,3,0,0,1,0,1,1,1,1,0,4,2,2,1,1,5,2
10,0,0,16,0,1,0,1,1,2,2,0,1,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,4
9,0,1,17,0,0,0,2,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,5,4,5,1,2,5,22
12,0,0,15,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0,0,1,1,1,0,4,4,2,1,2,5,0
11,0,0,15,0,1,1,2,1,2,1,1,1,2,1,0,0,1,0,1,1,0,1,1,4,4,2,1,1,5,0
11,0,0,15,0,0,0,3,2,3,0,1,0,1,2,1,0,1,0,0,1,1,1,0,3,3,2,1,1,3,2
13,0,0,15,0,0,0,1,2,2,1,0,1,1,2,0,0,1,0,0,0,1,1,0,4,3,2,1,1,5,6
11,0,0,15,0,0,0,1,2,2,0,0,0,1,2,0,0,0,0,0,0,1,0,1,2,3,4,2,4,1,6
9,0,1,16,0,0,0,4,4,4,4,0,1,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,16
12,0,1,15,0,1,1,2,1,0,1,0,1,4,1,0,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0
11,0,1,18,0,1,0,1,1,1,1,0,1,1,1,2,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0
9,0,1,16,0,1,0,2,1,2,1,0,1,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6
13,0,0,15,1,0,0,3,3,0,0,2,2,2,3,0,0,1,1,1,1,1,1,1,4,2,1,2,3,3,2
11,0,1,19,0,0,0,3,2,0,2,1,1,1,1,0,0,1,0,0,1,0,1,1,4,5,4,1,1,4,6
13,0,0,17,0,0,0,4,4,1,4,0,1,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0
7,0,1,15,1,0,0,2,3,2,0,0,1,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,0
9,0,1,17,1,1,0,1,2,1,1,2,1,1,1,3,0,0,0,0,1,1,0,0,2,2,2,3,3,5,14
11,0,0,18,1,0,0,1,1,2,1,0,1,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6
12,0,1,16,1,0,0,2,2,2,1,0,1,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,4
10,0,1,16,0,0,0,3,3,1,0,0,0,1,2,1,0,1,0,0,1,1,1,1,4,5,5,4,4,5,0
9,0,1,16,0,1,0,1,2,3,0,0,1,2,1,2,0,0,0,0,0,1,1,0,4,4,5,3,5,5,0
8,0,1,17,1,1,0,2,1,2,1,0,1,2,1,1,0,0,1,1,1,0,1,1,3,3,2,2,2,5,8
7,0,1,17,1,0,0,3,2,1,1,0,1,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,4
8,0,1,15,0,1,0,1,2,1,1,0,1,2,1,0,0,0,0,1,1,1,0,0,4,4,4,2,4,5,2
9,0,1,16,0,0,0,1,3,2,0,0,0,1,1,1,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2
8,0,1,17,1,1,0,1,1,1,0,0,1,4,2,0,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0
8,0,1,17,0,0,0,3,2,0,0,0,1,2,1,3,0,1,0,1,0,0,0,0,4,5,2,1,1,2,10
9,0,1,16,0,0,0,2,2,1,1,0,0,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,0
17,0,0,16,0,0,0,4,2,3,0,1,0,1,2,0,0,0,0,0,1,1,1,1,4,2,3,1,1,3,0
12,0,0,16,0,0,0,2,2,1,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,1,5,1,1,4,0
16,0,0,16,0,0,0,4,4,3,3,2,1,1,2,0,0,1,0,0,1,1,1,1,4,4,2,1,1,3,0
9,0,1,16,0,0,0,3,4,1,1,0,0,3,1,1,0,1,0,1,0,1,1,0,3,4,5,2,4,2,4
16,0,1,16,0,0,0,1,0,1,1,2,1,2,2,0,0,1,0,1,1,1,1,1,4,3,2,1,1,3,0
11,0,1,17,0,1,0,4,4,4,1,2,1,1,2,0,0,1,0,1,1,1,1,0,4,4,4,1,3,5,0
14,0,0,16,0,0,0,1,3,2,0,1,1,1,2,0,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0
14,0,0,16,0,1,0,3,3,1,1,2,1,2,2,0,0,1,0,1,1,1,1,0,4,4,5,1,1,4,0
10,0,1,17,0,1,0,4,3,4,1,0,1,2,2,0,0,0,0,1,1,1,1,0,4,4,4,4,4,4,0
13,0,0,16,0,0,0,2,2,0,1,2,1,2,2,0,0,0,0,1,0,1,1,0,3,4,4,1,4,5,0
11,0,1,17,0,0,0,3,3,1,1,2,0,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4
10,0,1,16,1,0,0,4,2,4,0,3,1,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,8
11,0,1,17,0,0,0,4,3,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,5,2,3,1,1,2,4
11,0,1,16,0,0,0,4,3,4,1,1,1,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,4
11,0,1,16,0,0,0,3,3,0,1,1,1,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,3,0
17,0,0,17,0,0,0,2,4,0,0,2,0,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0
14,0,0,17,0,1,0,3,3,1,1,2,1,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,32
14,0,0,16,0,0,0,3,2,1,1,2,1,1,2,0,0,1,0,0,1,1,1,0,1,2,2,1,2,1,8
11,0,1,17,0,0,0,3,3,0,0,3,1,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,6
10,0,1,16,0,0,0,1,2,0,0,3,1,1,1,0,0,1,0,1,1,1,1,1,3,3,3,1,2,3,0
13,0,1,16,0,1,0,2,1,1,1,0,1,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,5,0
12,0,0,17,0,0,1,3,3,3,1,2,1,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,10
9,0,1,17,1,0,0,1,2,2,1,1,1,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,6
12,0,0,16,0,0,0,2,3,0,0,0,1,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,6
12,0,0,17,0,0,0,1,1,2,0,0,1,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0
10,0,1,17,0,0,0,1,2,2,0,3,2,2,2,0,0,0,0,1,0,1,1,0,4,4,4,4,5,5,16
11,0,1,16,1,0,0,3,3,0,0,2,1,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,0
13,0,1,16,0,0,0,2,3,1,1,1,0,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0
14,0,0,17,0,1,0,2,4,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,8
13,0,1,17,0,0,0,4,4,0,4,1,1,1,1,0,0,0,0,0,1,1,1,0,5,2,3,1,2,5,4
10,0,1,16,1,1,0,3,3,4,1,1,0,3,1,0,0,1,0,1,1,1,1,0,3,3,4,3,5,3,16
14,0,0,17,0,0,0,4,4,0,4,1,1,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,30
11,0,0,16,0,1,0,4,4,4,4,2,1,1,2,0,0,1,0,0,1,1,1,0,4,5,2,1,2,3,0
14,0,0,16,0,0,0,4,3,3,1,1,1,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2
11,0,0,16,0,0,0,2,3,1,1,2,1,1,2,0,1,1,0,1,1,1,0,0,4,4,3,1,3,4,4
14,0,0,17,0,0,0,1,1,1,1,0,1,1,2,0,0,1,0,0,0,1,0,0,4,4,4,1,3,1,0
13,0,0,17,1,0,0,2,2,1,1,2,1,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,21
13,0,0,16,1,0,0,2,2,0,0,2,1,2,4,0,0,1,0,1,0,1,1,0,5,3,5,1,1,5,6
8,0,0,17,0,0,0,3,4,2,0,1,1,1,3,1,0,1,1,0,1,1,1,1,4,4,3,3,4,5,14
11,0,0,16,0,0,1,3,1,0,1,0,1,1,2,0,0,1,0,0,1,1,1,0,2,3,3,2,2,4,2
14,0,0,16,0,0,0,4,3,4,1,3,1,1,2,0,0,0,0,1,1,1,1,1,1,3,2,1,1,1,4
12,0,0,16,0,0,0,1,1,2,1,1,1,2,1,0,0,1,0,0,1,1,0,0,4,3,2,1,4,5,2
